crt_loc_cd,crt_loc_desc,vld_flg
102D,Beaver District,Y
320J,Herriman Justice,Y
211D,Brigham City District,Y
321J,Bluffdale Or Herriman Justice,Y
318D,Logan District,Y
427D,Price District,Y
506D,Manila District,Y
2560J,Saratoga Springs Justice,Y
609D,Farmington District,Y
1412J,East Millard Justice,Y
709D,Duchesne District,Y
718D,Roosevelt District,Y
801D,Castle Dale District,Y
909D,Panguitch District,Y
1011D,Moab District,Y
1103D,Cedar City District,Y
1117D,Parowan District,Y
2607J,Heber Justice,Y
1216D,Nephi District,Y
1306D,Kanab District,Y
1411D,Fillmore District,Y
1508D,Morgan District,Y
1604D,Junction District,Y
1705D,Randolph District,Y
1869D,Salt Lake District-Circuit Bld,N
8015O,AP&P,Y
1911D,Monticello District,Y
2015D,Manti District,Y
2122D,Richfield District,Y
2343D,Tooele District,Y
2416D,Vernal District,Y
2551J,Utah County Justice,Y
2550D,Provo District,Y
2553C,Salem District - Div 2,N
2606D,Heber District,Y
2714D,St. George District,Y
2807D,Loa District,Y
2921D,Ogden District,Y
2928J,Roy Justice Court,Y
1810A,Utah Supreme,Y
1811A,Utah Court Of Appeals,Y
211V,Brigham City Juvenile,Y
318V,Logan Juvenile,Y
609V,Farmington Juvenile,Y
2921V,Ogden Juvenile,Y
2550V,Provo Juvenile,Y
1868V,Salt Lake Juvenile,Y
2343V,Tooele Juvenile,Y
1411V,Fillmore Juvenile,Y
1103V,Cedar City Juvenile,Y
2714V,St. George Juvenile,Y
1306V,Kanab Juvenile,Y
2015V,Manti Juvenile,Y
2122V,Richfield Juvenile,Y
427V,Price Juvenile,Y
1011V,Moab Juvenile,Y
2416V,Vernal Juvenile,Y
225J,Garland Justice,Y
235J,Mantua Justice,Y
813J,Castle Dale Justice,Y
1801J,Alta Justice,Y
2102J,Aurora Justice,Y
102J,Beaver Justice,Y
1310J,Big Water Justice,Y
1902J,Blanding Justice,Y
1103J,Cedar City Justice,Y
605J,Centerville Justice,Y
305J,Clarkston Justice,Y
804J,Cleveland Justice,Y
607J,Clinton Justice,Y
2204J,Coalville Justice,Y
1409J,Delta Justice,Y
709J,Duchesne Justice East,Y
502J,Dutch John Justice,Y
2703J,Enterprise Justice,Y
2005J,Ephraim Justice,Y
905J,Escalante Justice,Y
1204J,Eureka Justice,Y
2006J,Fairview Justice,Y
609J,Davis County Justice,Y
2919J,Farr West Justice,Y
1411J,Fillmore Justice,Y
2008J,Fountain Green Justice,Y
610J,Fruit Heights Justice,Y
2520J,Genola Justice,Y
2524J,Goshen Justice,Y
2316J,Grantsville Justice,Y
811J,Green River Justice,Y
2010J,Gunnison Justice,Y
2908J,Harrisville Justice,Y
2606J,Wasatch Justice,Y
415J,Helper Justice,Y
2572J,Highland Justice,Y
2724J,Hildale Justice,Y
2912J,Huntsville Justice,Y
2706J,Hurricane Justice,Y
313J,Hyde Park Justice,Y
314J,Hyrum Justice,Y
2707J,Ivins Justice,Y
1603J,Piute Junction Justice,Y
1306J,Kanab Justice,Y
2533J,Lehi Justice,Y
1212J,Levan Justice,Y
307J,Lewiston Justice,Y
2535J,Lindon Justice,Y
2807J,Loa Justice,Y
318J,Logan Justice,Y
2545J,Payson Justice,Y
506J,Manila Justice,Y
2015J,Manti Justice,Y
2536J,Mapleton Justice,Y
1851J,Midvale Justice (7505 S Holden St),Y
105J,Milford Justice,Y
